Field Name,Crop,Crop Area,Activity Date,Activity start time,Activity end time,Operation,Related Plan No,Product,Harvest Interval,Rate,Water Volume,Treated Area,Wind Speed,Wind Direction,Temp,Humidity,Operator,Machine,Reason
AJ,Onions,18.82,14/06/2019,0:00,0:00,Fertilising #350,350,Dolomite (Dol),,"2,200.000 kgs/ha",0.00 lts/ha,9.40 ha,_,_,_,_,Belmont Farm,K85,
AJ,Onions,18.82,14/06/2019,0:00,0:00,Fertilising #351,351,Lime Springfield,,"1,250.000 kgs/ha",0.00 lts/ha,9.40 ha,_,_,_,_,Belmont Farm,K85,
AJ,Onions,18.82,14/06/2019,0:00,0:00,Fertilising #352,352,Dolomite (Dol),,850.000 kgs/ha,0.00 lts/ha,9.40 ha,_,_,_,_,Belmont Farm,K85,
AJ,Onions,18.82,14/06/2019,0:00,0:00,Fertilising #353,353,Lime Springfield,,800.000 kgs/ha,0.00 lts/ha,9.40 ha,_,_,_,_,Belmont Farm,K85,
AJ,Onions,18.82,24/06/2019,13:30,15:00,Fertilising #354,354,Muriate of Potash,,400.000 kgs/ha,0.00 lts/ha,18.82 ha,_,W,13 °C,49%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,DAP,,300.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,SulfurGain Pure 90%,,100.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,Boron 15%,,20.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,Zinic 23%,,16.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,Copper Sulphate 25%,,39.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,14/08/2019,14:00,15:30,Fertilising #379,379,Managnese 32%,,150.000 kgs/ha,0.00 lts/ha,18.82 ha,9 kph,SW,9 °C,64%,Belmont Farm,K85,
AJ,Onions,18.82,7/11/2019,10:00,12:00,Fertilising,,Yara Complex,,300.000 kgs/ha,0.00 lts/ha,18.82 ha,5 kph,NE,15 °C,60%,,,
B,Ryecorn,21.02,7/03/2020,8:40,9:40,Fertilising #639,639,Urea,,80.000 kgs/ha,0.00 lts/ha,21.02 ha,13 kph,NW,15 °C,47%,Belmont Farm,RB 25,
B,Peas,20.8,21/09/2019,18:02,18:02,Fertilising #444,444,Muriate of Potash,,200.000 kgs/ha,0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,RB 25,
B,Peas,20.8,21/09/2019,18:03,18:03,Fertilising #448,448,DAP,,280.000 kgs/ha,0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
B,Peas,20.8,21/09/2019,18:03,18:03,Fertilising #448,448,SulfurGain Pure 90%,,50.000 kgs/ha,0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
B,Peas,20.8,21/09/2019,18:03,18:03,Fertilising #448,448,Boron 15%,,20.000 kgs/ha,0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
B,Peas,20.8,21/09/2019,18:03,18:03,Fertilising #448,448,Zinic 23%,,12.000 kgs/ha,0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
B,Peas,20.8,22/09/2019,0:00,0:00,Fertilising #442,442,Lime Springfield,,"1,150.000 kgs/ha",0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
B,Peas,20.8,22/09/2019,13:42,13:42,Fertilising #440,440,Dolomite (Dol),,"2,750.000 kgs/ha",0.00 lts/ha,20.80 ha,_,_,_,_,Belmont Farm,K85,
C,Ryecorn,21,6/03/2020,8:43,9:43,Fertilising,,Urea,,120.000 kgs/ha,0.00 lts/ha,21.00 ha,10 kph,NE,16 °C,52%,,,
C,Ryecorn,21,28/03/2020,11:30,12:00,Fertilising #647,647,Urea,,150.000 kgs/ha,0.00 lts/ha,21.00 ha,4 kph,SE,12 °C,87%,Belmont Farm,RB 25,
C,Pak Choi,20.88,11/10/2019,0:00,0:00,Fertilising #441,441,Dolomite (Dol),,"3,300.000 kgs/ha",0.00 lts/ha,20.88 ha,_,_,_,_,Belmont Farm,K85,
C,Pak Choi,20.88,12/10/2019,12:03,12:03,Fertilising #443,443,Lime Springfield,,"1,100.000 kgs/ha",0.00 lts/ha,20.88 ha,_,_,_,_,Belmont Farm,K85,
C,Pak Choi,20.88,12/10/2019,12:03,12:03,Fertilising #445,445,Muriate of Potash,,300.000 kgs/ha,0.00 lts/ha,20.88 ha,_,_,_,_,Belmont Farm,RB 25,
D,Plantains,11.1,8/08/2019,10:45,11:29,Fertilising #396,396,DAP,,150.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,8/08/2019,10:45,11:29,Fertilising #396,396,SulfurGain Pure 90%,,50.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,8/08/2019,10:45,11:29,Fertilising #396,396,Boron 15%,,20.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,8/08/2019,10:45,11:29,Fertilising #396,396,Zinic 23%,,25.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,9/08/2019,14:00,15:00,Fertilising #367,367,Dolomite (Dol),,"1,000.000 kgs/ha",0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,26/08/2019,16:48,16:48,Fertilising #421,421,Urea,,100.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,K85,
D,Plantains,11.1,30/09/2019,17:44,17:44,Fertilising #460,460,Urea,,150.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,RB 25,
D,Plantains,11.1,24/10/2019,8:59,9:30,Fertilising,,Urea,,100.000 kgs/ha,0.00 lts/ha,11.10 ha,5 kph,SW,10 °C,70%,,,
D,Plantains,11.1,11/11/2019,10:00,10:00,Fertilising #523,523,Urea,,80.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,RB 25,
D,Plantains,11.1,6/03/2020,11:45,12:30,Fertilising,,Urea,,120.000 kgs/ha,0.00 lts/ha,11.10 ha,10 kph,NE,16 °C,58%,,,
EE,Rape,19,28/02/2020,8:30,9:30,Fertilising #629,629,Urea,,100.000 kgs/ha,0.00 lts/ha,19.00 ha,18 kph,NW,17 °C,68%,Belmont Farm,RB 25,
