,,,,,,,,,Application Detail Report,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Advisor :  Demo Advisor,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Belmont Farm, Belmont Farm, 1031 Wards Road, RD 1 , Christchurch",,,,,,,,,,,
,,,,,,,,,,,
"A, Pak Choi, 21.55 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,15/09/14,9,BORON 15%,B: 1.5kg,21.55 ,10.0 kgs/ha,10.0 kgs/ha,215.5 kg,,26/08/14
,,15/09/14,9,CROPZEAL 16N,"N: 40.04kg, P: 20.8kg, K: 26kg, S: 24.96kg",21.55 ,250.0 kgs/ha,260.0 kgs/ha,"5,603.0 kg",,26/08/14
,,05/11/14,21,SUSTIAN,N: 69kg,21.55 ,150.0 kgs/ha,150.0 kgs/ha,"3,232.5 kg",,05/11/14
,,,,,,,,,,,
,,,Total nutrients:,"N: 109.04kg, P: 20.8kg, K: 26kg, B: 1.5kg, S: 24.96kg",,,,,,,
,,,Available nutrients:,"N: 109.04kg, P: 20.8kg, K: 26kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"A, Rye, Rahu, 20.50 ha (31/01/15  To 17/09/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,09/04/15,48,CROPZEAL 16N,"N: 30.8kg, P: 16kg, K: 20kg, S: 19.2kg",21.55 ,200.0 kgs/ha,200.0 kgs/ha,"4,310.0 kg",,31/01/15
,,17/04/15,55,SUSTIAN,N: 69kg,20.50 ,150.0 kgs/ha,150.0 kgs/ha,"3,075.0 kg",,14/04/15
,,24/04/15,58,SUSTIAN,N: 46kg,20.50 ,100.0 kgs/ha,100.0 kgs/ha,"2,050.0 kg",,12/03/15
,,01/07/15,67,SUSTIAN,N: 46kg,20.50 ,100.0 kgs/ha,100.0 kgs/ha,"2,050.0 kg",,12/03/15
,,01/07/15,69,SUSTIAN,N: 69kg,20.50 ,150.0 kgs/ha,150.0 kgs/ha,"3,075.0 kg",,20/04/15
