Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
 ,24/10/2019,1.5,Urea,130,60,-,-,-,-,-
,4/11/2019,3.7,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,Area weighted total,,,,29,-,-,-,-,-
,No data for period selected,,,,,,,,,
,7/10/2019,1.8,AmSulph Granular,134,27,-,-,32,-,-
,5/11/2019,1.8,Urea,85,39,-,-,-,-,-
,26/11/2019,1.7,DAP,30,5,6,-,-,-,-
,30/12/2019,1.8,Urea,31,14,-,-,-,-,-
,27/03/2020,1.8,Urea,93,43,-,-,-,-,-
,17/08/2020,1.9,Ammo 31,138,42,-,-,19,-,-
,Area weighted total,,,,158,5,-,47,-,-
,4/11/2019,1.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,25/12/2019,0,DAP,24,4,5,-,-,-,-
,10/02/2020,0.2,Urea,5,2,-,-,-,-,-
,Area weighted total,,,,7,-,-,-,-,-
,11/10/2019,1.7,Urea,100,46,-,-,-,-,-
,29/11/2019,1,DAP,21,4,4,-,-,-,-
,31/12/2019,2.2,Urea,101,46,-,-,-,-,-
,6/02/2020,2,Urea,32,15,-,-,-,-,-
,5/03/2020,1.8,N - PROTECT,101,46,-,-,-,-,-
,9/04/2020,1.3,Urea,95,44,-,-,-,-,-
,20/08/2020,1.4,Ammo 31,105,32,-,-,15,-,-
,Area weighted total,,,,109,1,-,6,-,-
,No data for period selected,,,,,,,,,
,No data for period selected,,,,,,,,,
,No data for period selected,,,,,,,,,
,No data for period selected,,,,,,,,,
,9/04/2020,0,Urea,78,36,-,-,-,-,-
,Area weighted total,,,,1,-,-,-,-,-
,No data for period selected,,,,,,,,,
,No data for period selected,,,,,,,,,
,27/03/2020,0,Urea,51,24,-,-,-,-,-
,Area weighted total,,,,2,-,-,-,-,-
,7/10/2019,1.1,AmSulph Granular,166,34,-,-,40,-,-
,22/11/2019,1.1,Urea,31,14,-,-,-,-,-
,17/08/2020,0.7,Ammo 31,108,33,-,-,15,-,-
,Area weighted total,,,,61,-,-,44,-,-
,No data for period selected,,,,,,,,,
,28/09/2019,0.2,AG LIME,1135,-,-,-,-,409,-
,1/10/2019,0.2,Dolomite,1320,-,-,-,-,304,145
,18/12/2019,0.1,DAP,21,4,4,-,-,-,-
,15/01/2020,0.2,Urea,35,16,-,-,-,-,-
,5/03/2020,0.2,N - PROTECT,151,69,-,-,-,-,-
,27/03/2020,0.1,Urea,86,40,-,-,-,-,-
,Area weighted total,,,,86,2,-,-,567,116
,No data for period selected,,,,,,,,,
,No data for period selected,,,,,,,,,
,6/12/2019,0.1,Urea,147,67,-,-,-,-,-
,Area weighted total,,,,10,-,-,-,-,-
,29/09/2019,0.2,AG LIME,1930,-,-,-,-,695,-
,1/10/2019,0.2,Dolomite,4299,-,-,-,-,989,473
,6/12/2019,0.1,Urea,110,51,-,-,-,-,-
,9/01/2020,0.2,Urea,116,53,-,-,-,-,-
,5/03/2020,0.1,N - PROTECT,116,53,-,-,-,-,-
,3/05/2020,0.1,Urea,82,38,-,-,-,-,-
,Area weighted total,,,,84,-,-,-,1217,339
,24/10/2019,0,Dolomite,2502,-,-,-,-,575,275
,5/03/2020,0.1,N - PROTECT,3,1,-,-,-,-,-
,12/04/2020,0.1,Magnesium Oxide,88,-,-,-,-,-,35
,12/08/2020,0.2,Ammo 31,137,42,-,-,19,-,-
,14/08/2020,1,Ammo 31,133,40,-,-,18,-,-
,Area weighted total,,,,25,-,-,11,13,7
,2/10/2019,0,Ammo 31,26,8,-,-,4,-,-
,2/12/2019,0.3,Urea,238,109,-,-,-,-,-
,5/03/2020,0,N - PROTECT,4,2,-,-,-,-,-
,Area weighted total,,,,21,-,-,-,-,-
1,16/10/2019,4.8,Urea,99,46,-,-,-,-,-
,24/10/2019,6.7,Urea,132,61,-,-,-,-,-
,4/11/2019,9.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,9/12/2019,9.8,DAP,206,36,41,-,2,-,-
,31/12/2019,0.6,Urea,80,37,-,-,-,-,-
,17/08/2020,10,Ammo 31,145,44,-,-,20,-,-
,Area weighted total,,,,158,40,-,22,-,-
10,19/10/2019,9.4,AG LIME,2019,-,-,-,-,727,-
,4/11/2019,9.3,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,9/12/2019,9.3,DAP,284,50,57,-,3,-,-
,17/08/2020,4.8,Ammo 31,116,35,-,-,16,-,-
,Area weighted total,,,,82,55,-,11,708,-
,22/11/2019,3.7,Urea,31,14,-,-,-,-,-
,25/12/2019,3.6,DAP,38,7,8,-,-,-,-
,28/01/2020,3.8,Urea,32,15,-,-,-,-,-
,27/03/2020,3.8,Urea,104,48,-,-,-,-,-
,3/05/2020,3.7,Urea,86,40,-,-,-,-,-
,12/08/2020,3.9,Ammo 31,123,37,-,-,17,-,-
,13/08/2020,3.7,Scottys Fert Mix,474 kg/ha,28,32,105,96,-,-
,Area weighted total,,,,181,37,100,108,-,-
10A,11/04/2020,1,Magnesium Oxide,90,-,-,-,-,-,36
,12/08/2020,0.9,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,30,-,-,14,-,33
,7/10/2019,5.5,AmSulph Granular,138,28,-,-,33,-,-
,27/10/2019,5.9,Urea,90,41,-,-,-,-,-
,22/11/2019,5.9,Urea,31,14,-,-,-,-,-
,18/12/2019,5.4,DAP,31,6,6,-,-,-,-
,28/01/2020,5.5,Urea,32,15,-,-,-,-,-
,5/03/2020,5.8,N - PROTECT,109,50,-,-,-,-,-
,9/04/2020,5.8,Urea,97,45,-,-,-,-,-
,17/08/2020,6,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,220,5,-,46,-,-
10G,16/10/2019,5.3,Urea,98,45,-,-,-,-,-
,22/11/2019,0.6,Urea,157,72,-,-,-,-,-
,22/11/2019,5.1,Urea,29,13,-,-,-,-,-
,13/12/2019,5.2,DAP,30,5,6,-,-,-,-
,10/01/2020,5,DAP,36,6,7,-,-,-,-
,5/03/2020,5.3,N - PROTECT,96,44,-,-,-,-,-
,27/03/2020,5.3,Urea,171,78,-,-,-,-,-
,Area weighted total,,,,188,12,-,1,-,-
11,27/10/2019,7.1,Urea,86,40,-,-,-,-,-
,4/11/2019,9.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,25/12/2019,9.7,DAP,29,5,6,-,-,-,-
,17/08/2020,9.9,Ammo 31,116,35,-,-,16,-,-
,Area weighted total,,,,83,6,-,16,-,-
11G,22/11/2019,2.8,Ammo 31,190,58,-,-,26,-,-
,2/12/2019,2.8,Urea,177,82,-,-,-,-,-
,20/08/2020,2.9,Ammo 31,112,34,-,-,16,-,-
,Area weighted total,,,,168,-,-,41,-,-
12,11/10/2019,9.3,Urea,98,45,-,-,-,-,-
,4/11/2019,9.4,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,9.1,Urea,90,41,-,-,-,-,-
,26/11/2019,9,DAP,28,5,6,-,-,-,-
,3/09/2020,9.3,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,140,5,-,16,-,-
12G,2/10/2019,4.1,Ammo 31,141,43,-,-,19,-,-
,22/11/2019,0.1,Ammo 31,183,56,-,-,25,-,-
,2/12/2019,0.1,Urea,105,48,-,-,-,-,-
,30/12/2019,0.2,Urea,30,14,-,-,-,-,-
,8/01/2020,3.9,AmSulph Granular,204,41,-,-,47,-,-
,5/03/2020,0.3,N - PROTECT,106,49,-,-,-,-,-
,9/04/2020,0.5,Urea,113,52,-,-,-,-,-
,3/05/2020,0.5,Urea,95,44,-,-,-,-,-
,Area weighted total,,,,91,-,-,59,-,-
13,4/11/2019,9.4,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,31/12/2019,9,Urea,101,47,-,-,-,-,-
,3/09/2020,9.2,Ammo 31,111,34,-,-,15,-,-
,Area weighted total,,,,92,-,-,15,-,-
13G,22/11/2019,3.1,Urea,32,15,-,-,-,-,-
,2/12/2019,2,Urea,121,56,-,-,-,-,-
,6/12/2019,2,Urea,111,51,-,-,-,-,-
,9/01/2020,3.2,Urea,140,64,-,-,-,-,-
,3/05/2020,3.2,Urea,89,41,-,-,-,-,-
,16/08/2020,3.1,DAP Mix,616 kg/ha,-,-,-,-,-,-
,19/08/2020,3.1,ag lime,2548 kg/ha,-,-,-,-,-,-
,Area weighted total,,,,92,-,-,-,-,-
14,24/10/2019,9.8,Urea,96,44,-,-,-,-,-
,4/11/2019,9.9,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,10/12/2019,9.6,DAP,30,5,6,-,-,-,-
,25/12/2019,0.8,DAP,24,4,5,-,-,-,-
,26/08/2020,9.8,Ammo 31,112,34,-,-,15,-,-
